pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-07-07,84.8,-1.69,6.09,"Harris II, Michael",671739,607192,strikeout,swinging_strike_blocked,,,,,13,Michael Harris II strikes out swinging.,R,L,R,TB,ATL,S,2.0,,1,2,2023,0.21,-1.15,-0.04,0.16,,,,1,5,Top,,,,,542194,,,3.506584567606944,-123.42435562993022,-5.247058983733958,1.3624357074769653,27.25549101966856,-42.92624442514413,3.37,1.52,,,,86.2,2679.0,7.4,717460,607192,542194,650490,664040,670623,677551,668227,642350,666139,53.07,,,0.0,1.0,0.0,0.0,,32,4,Curveball,1,2,2,1,2,1,2,1,Infield shade,Standard,5.0,0.017,-0.119
FF,2023-07-07,98.4,-1.93,5.96,"Harris II, Michael",671739,607192,field_out,hit_into_play,,,,,1,"Michael Harris II grounds out, shortstop Wander Franco to first baseman Yandy Diaz.   Orlando Arcia to 2nd.",R,L,R,TB,ATL,X,6.0,ground_ball,1,2,2023,-0.03,1.5,-0.38,3.15,,,606115.0,0,3,Top,116.27,135.55,,,542194,,,4.383038215584527,-143.1601420804876,-5.747396933894168,-1.4317162309238975,34.831778182202655,-10.430254737411362,3.37,1.52,52.0,106.8,-1.0,100.4,2615.0,7.5,717460,607192,542194,650490,664040,670623,677551,668227,642350,666139,52.96,0.48,0.451,0.0,1.0,0.0,0.0,4.0,17,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,194.0,0.021,-0.418
CH,2023-07-07,86.9,-1.66,5.89,"Harris II, Michael",671739,660730,strikeout,swinging_strike,,,,,8,Michael Harris II strikes out swinging.,R,L,R,TB,ATL,S,2.0,,1,2,2023,-1.3,1.0,-0.21,1.81,,,,0,8,Top,,,,,542194,,,6.200394933381272,-126.31859532225177,-5.633940438784771,-15.165106918116608,28.30230731334693,-20.45018875217045,3.37,1.52,,,,87.4,2267.0,6.9,717460,660730,542194,650490,670764,670623,677551,668227,642350,666139,53.58,,,0.0,1.0,0.0,0.0,,51,4,Changeup,1,2,2,1,2,1,2,1,Infield shade,Standard,230.0,0.022,-0.173
FF,2023-07-08,94.6,-1.25,6.04,"Acuña Jr., Ronald",660670,671737,field_out,hit_into_play,,,,,5,Ronald Acuna Jr.  flies out to right fielder Luke Raley.,R,R,R,TB,ATL,X,9.0,fly_ball,1,0,2023,-0.47,1.71,-0.04,2.34,,,,0,5,Top,186.46,132.89,,,642336,,,4.2306103341382935,-137.43407698679223,-7.736135810519023,-6.9545578535923065,35.14601304324712,-9.049924365328854,3.53,1.62,223.0,84.8,52.0,94.5,2303.0,6.7,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.82,0.017,0.019,0.0,1.0,0.0,0.0,3.0,34,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Strategic,198.0,0.007,-0.275
FF,2023-07-08,97.7,-1.11,6.23,"Acuña Jr., Ronald",660670,671737,double,hit_into_play,,,,,12,Ronald Acuna Jr.  doubles (25) on a sharp line drive to center fielder Manuel Margot.,R,R,R,TB,ATL,X,8.0,line_drive,0,2,2023,-0.28,1.8,1.03,3.28,,,,0,4,Top,93.36,67.44,,,642336,,,6.45413313903332,-142.03442580476934,-6.625040318111849,-5.269692666471087,32.784429608818925,-6.528043097445258,3.53,1.62,155.0,105.2,7.0,98.4,2274.0,6.7,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.78,0.637,0.573,1.25,1.0,1.0,1.0,4.0,22,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,198.0,-0.075,0.72
SI,2023-07-08,97.5,-1.1,5.08,"Acuña Jr., Ronald",660670,642770,walk,ball,,,,,14,Ronald Acuna Jr.  walks.,R,R,R,TB,ATL,B,,,3,2,2023,-1.62,0.54,1.18,2.6,,,,2,7,Top,,,,,642336,,,9.850957430229698,-141.64359781442352,-2.358295494724431,-24.11040892593421,32.603338790547845,-24.60331130514489,3.63,1.68,,,,97.4,2139.0,6.3,717441,642770,642336,650490,664040,670764,677551,668227,622534,670042,54.16,,,0.7,1.0,0.0,0.0,,51,10,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,230.0,-0.002,0.11
CH,2023-07-08,89.3,4.22,5.1,"Acuña Jr., Ronald",660670,518617,single,hit_into_play,,,,,8,Ronald Acuna Jr.  singles on a ground ball to center fielder Manuel Margot.   Michael Harris II scores.,R,R,L,TB,ATL,X,8.0,ground_ball,2,2,2023,1.37,0.47,0.07,2.01,,671739.0,,1,9,Top,113.15,86.29,,,642336,,,-13.04960450836208,-129.34170498057856,-2.504301066352016,18.13820030039758,27.433388054146693,-26.585440423597102,3.53,1.62,,,,88.9,1884.0,6.3,717441,518617,642336,650490,664040,670764,677551,668227,622534,670042,54.15,,,0.9,,1.0,0.0,,68,5,Changeup,1,5,5,1,6,1,6,1,Infield shade,Standard,107.0,-0.007,0.73
FC,2023-07-08,91.2,-1.56,6.03,"Acuña Jr., Ronald",660670,671737,field_out,hit_into_play,,,,,9,Ronald Acuna Jr.  flies out sharply to center fielder Manuel Margot.,R,R,R,TB,ATL,X,8.0,fly_ball,1,1,2023,0.43,0.62,0.33,2.04,,,,0,1,Top,167.02,69.19,,,642336,,,3.859600643412944,-132.74335746410446,-5.577178828407815,4.337669145810002,26.128118409393863,-23.8839464742058,3.53,1.62,337.0,101.7,42.0,92.3,2361.0,6.7,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.75,0.109,0.177,0.0,1.0,0.0,0.0,5.0,1,3,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,177.0,0.022,-0.228
FC,2023-07-08,89.1,-1.24,6.08,"Albies, Ozzie",645277,671737,single,hit_into_play,,,,,13,Ozzie Albies singles on a sharp ground ball to right fielder Luke Raley.,R,L,R,TB,ATL,X,9.0,ground_ball,2,1,2023,0.43,0.76,-0.12,1.42,,,,1,5,Top,196.06,105.1,,,642336,,,1.834095505417117,-129.6710681933854,-6.982027492473255,4.442280491587993,28.10126341779545,-22.29452651153705,3.18,1.56,122.0,103.0,6.0,88.8,2284.0,6.2,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.33,0.666,0.636,0.9,1.0,1.0,0.0,4.0,35,4,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,182.0,-0.008,0.236
FC,2023-07-08,88.9,-1.49,6.03,"Albies, Ozzie",645277,671737,walk,ball,,,,,13,Ozzie Albies walks.,R,L,R,TB,ATL,B,,,3,2,2023,0.29,0.32,-0.19,1.2,,660670.0,,0,4,Top,,,,,642336,,,2.5802375617941027,-129.38370777997184,-6.451831957327465,2.6541896111328818,27.33964919094082,-27.39296978700561,3.24,1.6,,,,88.5,2412.0,6.1,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.41,,,0.7,1.0,0.0,0.0,,23,6,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,136.0,-0.032,0.353
FF,2023-07-08,98.8,-0.94,5.39,"Albies, Ozzie",645277,642770,field_out,hit_into_play,,,,,5,Ozzie Albies flies out to center fielder Manuel Margot.,R,L,R,TB,ATL,X,8.0,fly_ball,0,0,2023,-0.76,1.1,0.03,2.25,,,660670.0,2,7,Top,157.53,48.56,,,642336,,,4.417795655549825,-143.74991780149094,-5.687794381543771,-11.507494553994214,33.18679329616346,-15.738361573025612,3.18,1.56,379.0,96.0,27.0,98.7,2388.0,6.2,717441,642770,642336,650490,664040,670764,677551,668227,622534,670042,54.27,0.297,0.494,0.0,1.0,0.0,0.0,5.0,52,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,220.0,0.005,-0.241
CH,2023-07-08,88.0,4.06,5.22,"Albies, Ozzie",645277,518617,force_out,hit_into_play,,,,,13,"Ozzie Albies grounds into a force out, shortstop Wander Franco to second baseman Brandon Lowe.   Ronald Acuna Jr.  out at 2nd.    Ozzie Albies to 1st.",R,R,L,TB,ATL,X,6.0,ground_ball,1,2,2023,1.33,0.39,-0.25,0.48,,,660670.0,1,9,Top,105.28,157.09,,,642336,,,-13.155799396507811,-127.34624191376724,-6.158613832811192,17.09335280404974,25.613413737416863,-26.78788415672034,3.18,1.56,5.0,74.0,-7.0,87.9,1562.0,6.5,717441,518617,642336,650490,664040,670764,677551,668227,622534,670042,54.04,0.063,0.057,0.0,1.0,0.0,0.0,2.0,69,6,Changeup,1,6,6,1,6,1,6,1,Standard,Standard,110.0,0.001,-0.308
FF,2023-07-08,99.4,-1.35,6.03,"Albies, Ozzie",645277,671737,strikeout,swinging_strike,,,,,1,Ozzie Albies strikes out swinging.,R,L,R,TB,ATL,S,2.0,,2,2,2023,-0.45,1.68,-0.5,3.24,,,,1,1,Top,,,,,642336,,,3.3972441171550027,-144.57023821744124,-6.145539557350057,-7.17019817967986,35.97883139192668,-7.441493211659774,3.18,1.56,,,,99.2,2462.0,6.3,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.16,,,0.0,1.0,0.0,0.0,,2,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,200.0,0.015,-0.148
FF,2023-07-08,94.8,-1.28,6.09,"Olson, Matt",621566,671737,field_out,hit_into_play,,,,,5,"Matt Olson grounds out sharply, second baseman Brandon Lowe to first baseman Yandy Diaz.",R,L,R,TB,ATL,X,4.0,ground_ball,0,1,2023,-0.5,1.64,0.18,2.58,,645277.0,,2,5,Top,151.88,152.25,,,642336,,,4.917309039358904,-137.75925037401615,-7.129572007927767,-7.458252212464384,32.87340969880052,-9.903592336329131,3.49,1.68,22.0,109.7,-6.0,94.6,2365.0,6.4,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.08,0.437,0.417,0.0,1.0,0.0,0.0,2.0,37,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Strategic,203.0,0.012,-0.275
FC,2023-07-08,90.2,-1.52,6.06,"Olson, Matt",621566,671737,single,hit_into_play,,,,,2,Matt Olson singles on a sharp ground ball to center fielder Manuel Margot.   Ronald Acuna Jr.  scores.    Ozzie Albies to 3rd.,R,L,R,TB,ATL,X,8.0,ground_ball,1,2,2023,0.29,0.22,0.09,3.11,,660670.0,645277.0,1,4,Top,141.85,105.95,,,642336,,,3.433898516079895,-131.4373909933712,-1.8745448574134456,2.6256382702328773,26.85596171867394,-29.478883975165058,3.49,1.68,118.0,107.6,5.0,91.2,2484.0,6.7,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.76,0.68,0.65,0.9,1.0,1.0,0.0,4.0,25,6,Cutter,0,0,0,0,1,0,1,0,Standard,Strategic,122.0,-0.149,1.074
FC,2023-07-08,90.1,-1.49,6.03,"Olson, Matt",621566,671737,strikeout,swinging_strike,,,,,2,Matt Olson strikes out swinging.,R,L,R,TB,ATL,S,2.0,,3,2,2023,0.1,0.63,0.2,3.26,,,,0,2,Top,,,,,642336,,,3.9902334601372456,-131.16216727978534,-2.2235231262065263,0.3226441072204777,29.093233085340504,-24.703845812319127,3.49,1.68,,,,90.1,2439.0,6.4,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.11,,,0.0,1.0,0.0,0.0,,9,10,Cutter,0,0,0,0,0,0,0,0,Strategic,Strategic,123.0,0.023,-0.317
SI,2023-07-08,94.7,-0.75,6.39,"Olson, Matt",621566,630023,strikeout,called_strike,,,,,9,Matt Olson called out on strikes.,R,L,R,TB,ATL,S,2.0,,2,2,2023,-1.58,0.5,0.75,1.61,,,,1,8,Top,,,,,642336,,,7.471996636088854,-137.5878921310218,-7.926521175311763,-21.737141226502803,30.817728424109827,-24.205268812084785,3.49,1.72,,,,94.8,2037.0,6.5,717441,630023,642336,650490,664040,670764,677551,668227,622534,670042,54.04,,,0.0,1.0,0.0,0.0,,58,7,Sinker,0,4,4,0,4,0,4,0,Strategic,Standard,228.0,0.002,-0.148
CU,2023-07-08,78.4,-1.29,6.22,"Riley, Austin",663586,671737,field_out,hit_into_play,,,,,7,Austin Riley lines out sharply to center fielder Manuel Margot.,R,R,R,TB,ATL,X,8.0,line_drive,1,2,2023,0.3,-1.62,-0.32,2.06,,645277.0,,1,5,Top,96.72,44.28,,,642336,,,1.532131612380114,-114.0714829746274,0.9511664925959532,2.2871400084013658,23.88281922471652,-46.63217051330575,3.48,1.66,388.0,101.7,21.0,77.5,2553.0,6.0,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.51,0.56,0.752,0.0,1.0,0.0,0.0,5.0,36,4,Curveball,0,4,4,0,4,0,4,0,Standard,Standard,18.0,0.011,-0.242
FF,2023-07-08,98.0,-1.46,6.0,"Riley, Austin",663586,671737,field_out,hit_into_play,,,,,13,Austin Riley pops out to first baseman Yandy Diaz on the infield fly rule.,R,R,R,TB,ATL,X,3.0,popup,3,1,2023,-0.36,1.83,-0.97,2.5,,660670.0,645277.0,0,4,Top,162.17,154.07,,,642336,,,2.172927007637074,-142.52128648657887,-8.188250090468426,-5.438131626991555,34.41302468846792,-5.55382518177442,3.48,1.66,153.0,87.7,65.0,98.0,2390.0,6.4,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.06,0.006,0.005,0.0,1.0,0.0,0.0,3.0,24,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,198.0,0.061,-0.817
FF,2023-07-08,96.1,4.1,5.29,"Riley, Austin",663586,518617,field_out,hit_into_play,,,,,8,Austin Riley flies out to center fielder Manuel Margot.,R,R,L,TB,ATL,X,8.0,fly_ball,0,0,2023,1.56,0.69,0.23,1.96,,,645277.0,2,9,Top,89.41,44.65,,,642336,,,-13.782646293744296,-139.1224692236016,-4.72735521154536,23.38748520046449,32.45684640075951,-22.203567223669268,3.48,1.66,391.0,99.5,27.0,95.9,2439.0,6.6,717441,518617,642336,650490,664040,670764,677551,668227,622534,670042,53.94,0.549,0.97,0.0,1.0,0.0,0.0,6.0,70,1,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,165.0,0.001,-0.241
FC,2023-07-08,90.2,-1.49,6.01,"Riley, Austin",663586,671737,field_out,hit_into_play,,,,,8,"Austin Riley grounds out, third baseman Taylor Walls to first baseman Yandy Diaz.",R,R,R,TB,ATL,X,5.0,ground_ball,0,0,2023,0.43,0.27,0.19,1.9,,,,2,1,Top,101.65,168.59,,,642336,,,3.2983444482066773,-131.21920436892097,-4.849090091437009,4.174296382129382,28.990657953349213,-28.26568119370766,3.48,1.66,19.0,84.9,-5.0,90.7,2416.0,6.7,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.79,0.171,0.157,0.0,1.0,0.0,0.0,2.0,3,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,154.0,0.01,-0.106
FS,2023-07-08,85.5,-0.71,6.65,"Riley, Austin",663586,630023,field_out,hit_into_play,,,,,9,"Austin Riley grounds out sharply, second baseman Brandon Lowe to first baseman Yandy Diaz.",R,R,R,TB,ATL,X,4.0,ground_ball,1,2,2023,-0.5,0.52,0.29,2.22,,,,0,8,Top,122.7,126.58,,,642336,,,3.3580951352435937,-124.35565542849196,-5.170601969901834,-5.882962156897542,26.22972547859442,-25.91295538794748,3.48,1.66,5.0,108.3,-23.0,85.2,1314.0,6.3,717441,630023,642336,650490,664040,670764,677551,668227,622534,670042,54.25,0.163,0.147,0.0,1.0,0.0,0.0,2.0,57,4,Split-Finger,0,4,4,0,4,0,4,0,Standard,Standard,226.0,0.003,-0.173
FF,2023-07-08,97.1,-1.35,6.07,"Ozuna, Marcell",542303,671737,field_out,hit_into_play,,,,,3,"Marcell Ozuna grounds out sharply, second baseman Brandon Lowe to first baseman Yandy Diaz.",R,R,R,TB,ATL,X,4.0,ground_ball,0,2,2023,-0.48,1.57,0.29,3.5,,,,1,4,Top,131.0,157.53,,,642336,,,5.524625567747671,-141.2672516310583,-4.928110490899877,-7.720813978100422,34.361395376193165,-10.28725313046514,3.51,1.76,50.0,102.0,-1.0,97.3,2248.0,6.5,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.96,0.477,0.446,0.0,1.0,0.0,0.0,4.0,27,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,208.0,0.006,-0.107
FC,2023-07-08,88.8,-1.47,6.07,"Ozuna, Marcell",542303,671737,strikeout,foul_tip,,,,,14,Marcell Ozuna strikes out on a foul tip.,R,R,R,TB,ATL,S,2.0,,2,2,2023,0.39,0.25,0.86,1.83,,,,2,2,Top,,,,,642336,,,4.917570320225186,-129.2834190939297,-4.868796086355501,3.364325943513789,27.09310420818422,-28.52692155997787,3.51,1.76,,,,89.3,2437.0,6.6,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.91,,,0.0,1.0,0.0,0.0,,11,5,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,124.0,0.01,-0.09
SI,2023-07-08,94.3,-0.74,6.48,"Ozuna, Marcell",542303,630023,strikeout,called_strike,,,,,9,Marcell Ozuna called out on strikes.,R,R,R,TB,ATL,S,2.0,,1,2,2023,-1.65,0.56,0.4,1.91,,,669221.0,2,8,Top,,,,,642336,,,6.611988626801942,-136.92218359089395,-7.325988707659377,-22.21829041563624,33.42553743159647,-23.64075822322287,3.43,1.78,,,,93.6,2002.0,6.3,717441,630023,642336,650490,664040,670764,677551,668227,622534,670042,54.23,,,0.0,1.0,0.0,0.0,,60,4,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,229.0,0.004,-0.173
SI,2023-07-08,95.8,-1.28,4.98,"Ozuna, Marcell",542303,642770,grounded_into_double_play,hit_into_play,,,,,5,"Marcell Ozuna grounds into a double play, shortstop Wander Franco to second baseman Brandon Lowe to first baseman Yandy Diaz.   Sean Murphy out at 2nd.    Marcell Ozuna out at 1st.",R,R,R,TB,ATL,X,6.0,ground_ball,3,1,2023,-1.75,0.56,-0.25,2.43,,,669221.0,0,6,Top,104.07,155.28,,,642336,,,6.674670694540226,-139.29921723558104,-2.3578383865228805,-24.23586510669876,34.12049049865178,-24.54698886647003,3.51,1.76,17.0,104.3,-7.0,95.4,2119.0,6.3,717441,642770,642336,650490,664040,670764,677551,668227,622534,670042,54.18,0.366,0.331,0.0,1.0,0.0,0.0,2.0,42,5,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,239.0,0.02,-0.721
FC,2023-07-08,89.9,-1.54,6.0,"Murphy, Sean",669221,671737,home_run,hit_into_play,,,,,2,Sean Murphy homers (17) on a fly ball to left field.   Ozzie Albies scores.    Matt Olson scores.,R,R,R,TB,ATL,X,,fly_ball,1,0,2023,0.2,0.54,-0.27,3.15,645277.0,,621566.0,1,4,Top,10.51,80.45,,,642336,,,2.692118533357601,-130.99712730003066,-2.234807272272085,1.7201869758851251,27.03100545402033,-25.739879569254736,3.41,1.65,406.0,101.8,32.0,89.4,2258.0,5.8,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.65,0.577,1.125,2.0,1.0,0.0,3.0,6.0,26,2,Cutter,0,1,1,0,4,0,4,0,Standard,Standard,165.0,-0.183,2.016
FF,2023-07-08,99.0,-1.34,6.19,"Murphy, Sean",669221,671737,strikeout,swinging_strike,,,,,5,Sean Murphy strikes out swinging.,R,R,R,TB,ATL,S,2.0,,1,2,2023,-0.35,1.77,-0.13,2.25,,,,1,2,Top,,,,,642336,,,4.103088504591254,-143.75272855095233,-9.403670950672396,-5.8249652672921775,36.11895641055138,-5.590374926014083,3.41,1.65,,,,98.7,2525.0,6.4,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.1,,,0.0,1.0,0.0,0.0,,10,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,196.0,0.017,-0.119
SI,2023-07-08,93.6,-0.95,6.42,"Murphy, Sean",669221,630023,walk,ball,,,,,14,Sean Murphy walks.,R,R,R,TB,ATL,B,,,3,1,2023,-1.61,0.41,0.75,1.56,,,,2,8,Top,,,,,642336,,,7.920591412543218,-135.81368863564305,-7.614955666498413,-21.69659676510208,31.535874887306584,-25.503094886129137,3.62,1.8,,,,93.1,2035.0,6.3,717441,630023,642336,650490,664040,670764,677551,668227,622534,670042,54.23,,,0.7,1.0,0.0,0.0,,59,5,Sinker,0,4,4,0,4,0,4,0,Standard,Strategic,228.0,-0.002,0.074
FF,2023-07-08,98.3,-1.1,5.48,"Murphy, Sean",669221,642770,walk,ball,,,,,11,Sean Murphy walks.,R,R,R,TB,ATL,B,,,3,2,2023,-0.9,1.3,-1.08,3.86,,,,0,6,Top,,,,,642336,,,2.136886415445139,-143.08580636330535,-1.902100157531,-12.794551374717535,35.28356755734875,-14.228283323205424,3.57,1.76,,,,98.1,2353.0,6.3,717441,642770,642336,650490,664040,670764,677551,668227,622534,670042,54.16,,,0.7,1.0,0.0,0.0,,41,6,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,223.0,-0.009,0.312
SL,2023-07-08,89.7,-2.41,5.7,"Kelenic, Jarred",672284,650556,strikeout,swinging_strike,,,,,9,Jarred Kelenic strikes out swinging.,R,L,R,HOU,SEA,S,2.0,,1,2,2023,0.96,-0.03,0.51,1.93,,,,1,7,Top,,,,,455117,,,5.187170918200643,-130.50138219844774,-3.217561913909523,9.635498359218762,30.1795712976994,-32.01256865982897,3.52,1.73,,,,89.3,3036.0,6.3,717440,650556,455117,547989,643289,608324,665161,667452,676801,663656,54.25,,,0.0,1.0,0.0,0.0,,49,4,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,57.0,0.028,-0.119
SL,2023-07-08,91.6,-0.23,6.09,"Kelenic, Jarred",672284,519151,field_out,hit_into_play,,,,,9,"Jarred Kelenic grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.",R,L,R,HOU,SEA,X,4.0,ground_ball,2,2,2023,0.34,0.36,0.28,1.63,,,,0,9,Top,147.41,139.4,,,455117,,,0.5443160313619798,-133.31047990201378,-6.181003188179234,3.898310585082232,28.411065253792056,-26.718167346437,3.52,1.73,10.0,99.4,-8.0,91.2,2817.0,6.0,717440,519151,455117,547989,643289,608324,665161,667452,676801,663656,54.49,0.274,0.251,0.0,1.0,0.0,0.0,2.0,66,5,Slider,3,2,2,3,2,3,2,3,Infield shade,Standard,166.0,0.071,-0.214
CU,2023-07-08,78.9,-1.21,6.15,"Harris II, Michael",671739,671737,field_out,hit_into_play,,,,,4,"Michael Harris II grounds out, second baseman Brandon Lowe to first baseman Yandy Diaz.",R,L,R,TB,ATL,X,4.0,ground_ball,0,0,2023,0.31,-1.61,-0.38,2.26,,592696.0,606115.0,2,4,Top,151.88,154.07,,,642336,,,1.2042502285891716,-114.77814159520784,1.4583078006739525,2.482365032092896,24.34167053521956,-46.78814620198728,3.36,1.52,75.0,96.2,3.0,78.6,2478.0,6.4,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,54.07,0.489,0.465,0.0,1.0,0.0,0.0,4.0,30,1,Curveball,0,4,4,0,4,0,4,0,Standard,Standard,24.0,0.017,-0.472
CU,2023-07-08,82.5,-1.28,6.02,"Harris II, Michael",671739,671737,field_out,hit_into_play,,,,,5,"Michael Harris II grounds out, first baseman Yandy Diaz to pitcher Taj Bradley.",R,L,R,TB,ATL,X,3.0,ground_ball,1,2,2023,0.44,-1.27,-0.02,2.15,,,,2,3,Top,156.66,161.93,,,642336,,,2.0181849492540747,-120.00053767424583,0.3264797352128299,3.7229751522942496,27.54808567829668,-44.616022198454445,3.36,1.52,4.0,92.7,-32.0,82.4,2166.0,6.7,717441,671737,642336,650490,664040,670764,677551,668227,622534,670042,53.81,0.071,0.064,0.0,1.0,0.0,0.0,2.0,17,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,26.0,0.011,-0.074
SI,2023-07-08,99.2,-0.99,5.29,"Harris II, Michael",671739,642770,strikeout,called_strike,,,,,6,Michael Harris II called out on strikes.,R,L,R,TB,ATL,S,2.0,,0,2,2023,-1.56,0.94,0.76,2.33,,,,1,7,Top,,,,,642336,,,8.388410146044729,-144.1025370724416,-4.831976533834982,-23.724064294853804,34.653635555753475,-18.13071977648409,3.52,1.7,,,,98.5,2261.0,6.1,717441,642770,642336,650490,664040,670764,677551,668227,622534,670042,54.42,,,0.0,1.0,0.0,0.0,,50,4,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,235.0,0.003,-0.107
FF,2023-07-08,95.0,4.05,5.37,"Harris II, Michael",671739,518617,fielders_choice,hit_into_play,,,,,12,"Michael Harris II reaches on a fielder's choice, fielded by shortstop Wander Franco.   Orlando Arcia scores.    Michael Harris II to 2nd.  Missed catch error by second baseman Brandon Lowe, assist to shortstop Wander Franco.",R,L,L,TB,ATL,X,6.0,ground_ball,1,0,2023,1.51,0.84,1.0,2.72,,,606115.0,1,9,Top,113.18,154.81,,,642336,,,-11.359789119894607,-137.81643823197103,-3.112791723361486,21.84018737000804,32.7478783952466,-20.95500276334927,3.36,1.52,60.0,50.6,8.0,94.6,2153.0,6.4,717441,518617,642336,650490,664040,670764,677551,668227,622534,670042,54.1,0.143,0.137,0.9,1.0,0.0,0.0,1.0,67,2,4-Seam Fastball,1,4,4,1,5,1,5,1,Standard,Standard,129.0,-0.019,0.473
ST,2023-07-09,79.0,-2.24,5.97,"Acuña Jr., Ronald",660670,621107,field_out,hit_into_play,,,,,4,Ronald Acuna Jr.  pops out to first baseman Jonathan Aranda in foul territory.,R,R,R,TB,ATL,X,3.0,popup,0,0,2023,1.31,0.24,-0.43,2.47,,,,2,3,Top,127.73,186.84,,,542194,,,1.5107140910516503,-115.04758278633442,-1.222499327089134,11.270379493865336,23.294778078033207,-30.06254295089181,3.56,1.63,152.0,87.1,66.0,79.0,2402.0,6.5,717429,621107,542194,666018,670764,670623,677551,668227,642350,670042,54.03,0.006,0.007,0.0,1.0,0.0,0.0,3.0,21,1,Sweeper,4,0,0,4,0,4,0,4,Standard,Standard,66.0,0.006,-0.106
FF,2023-07-09,94.1,-0.6,6.14,"Acuña Jr., Ronald",660670,641793,field_out,hit_into_play,,,,,5,Ronald Acuna Jr.  flies out to right fielder Luke Raley.,R,R,R,TB,ATL,X,9.0,fly_ball,0,1,2023,-0.51,1.58,0.2,2.54,,,671739.0,2,7,Top,202.45,96.25,,,542194,,,3.216142619711488,-136.84852002700634,-7.128526288583787,-7.142605200838561,31.30342248669257,-10.952727103182584,3.56,1.63,334.0,96.7,35.0,94.2,2128.0,6.5,717429,641793,542194,666018,670764,670623,677551,668227,642350,670042,54.02,0.211,0.375,0.0,1.0,0.0,0.0,3.0,57,2,4-Seam Fastball,8,4,4,8,4,8,4,8,Standard,Standard,206.0,0.011,-0.203
