pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-07-05,97.9,1.35,5.6,"Albies, Ozzie",645277,682120,field_out,hit_into_play,,,,,7,Ozzie Albies lines out to left fielder Steven Kwan.,R,R,L,CLE,ATL,X,7.0,line_drive,2,0,2023,0.71,1.11,-0.7,1.87,,671739.0,,2,6,Top,75.57,92.31,,,666310,,,-7.287714472061432,-142.35818969632123,-7.282517044282348,11.251318196697158,28.984571879328755,-15.582134557451417,3.13,1.54,293.0,95.2,17.0,99.5,2417.0,7.0,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.52,0.529,0.498,0.0,1.0,0.0,0.0,4.0,54,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Standard,Standard,135.0,0.006,-0.382
FF,2023-07-05,92.1,-1.5,5.97,"Albies, Ozzie",645277,675540,single,hit_into_play,,,,,13,Ozzie Albies singles on a ground ball to right fielder Will Brennan.   Ronald Acuna Jr.  to 3rd.,R,L,R,CLE,ATL,X,9.0,ground_ball,0,0,2023,-0.44,1.54,-0.88,1.89,,,660670.0,2,8,Top,180.47,126.35,,,666310,,,2.538767336017463,-133.90373036535047,-7.880936129709384,-5.88884778678481,29.080634038501085,-12.107278682022203,3.13,1.54,123.0,81.1,10.0,92.1,2213.0,6.4,717486,675540,666310,681807,665926,608070,642708,680757,664702,686823,54.13,0.443,0.402,0.9,1.0,1.0,0.0,4.0,70,1,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shade,Standard,192.0,-0.001,0.309
CH,2023-07-05,86.8,-1.47,6.23,"Albies, Ozzie",645277,615698,single,hit_into_play,,,,,13,Ozzie Albies singles on a ground ball to center fielder Myles Straw.,R,L,R,CLE,ATL,X,8.0,ground_ball,2,2,2023,-0.72,0.39,-0.95,1.7,,,,1,1,Top,132.06,88.44,,,666310,,,2.723292901372384,-126.4712457041356,-5.552231292783757,-8.330129047471273,22.76039221535192,-27.09238963702956,3.13,1.54,13.0,84.2,-6.0,87.3,1356.0,6.3,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.2,0.166,0.163,0.9,1.0,1.0,0.0,2.0,2,5,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,232.0,-0.025,0.284
SI,2023-07-05,92.8,-1.21,6.29,"Olson, Matt",621566,615698,single,hit_into_play,,,,,2,Matt Olson singles on a ground ball to left fielder Steven Kwan.,R,L,R,CLE,ATL,X,7.0,ground_ball,2,2,2023,-1.08,1.07,0.0,3.11,,,,1,5,Top,73.88,112.68,,,666310,,,5.48616301367335,-135.07473799135218,-4.701606768926567,-14.426969405441117,28.27262488890361,-18.289572945168697,3.43,1.66,32.0,103.7,-4.0,93.3,1935.0,6.5,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.01,0.443,0.418,0.9,1.0,1.0,0.0,2.0,42,5,Sinker,0,5,5,0,5,0,5,0,Infield shade,Standard,221.0,-0.005,0.284
SI,2023-07-05,93.3,-1.3,6.27,"Olson, Matt",621566,615698,field_out,hit_into_play,,,,,2,"Matt Olson grounds out, third baseman Jose Ramirez to first baseman David Fry.",R,L,R,CLE,ATL,X,5.0,ground_ball,2,2,2023,-1.1,0.94,0.24,3.54,,,,1,3,Top,108.42,158.14,,,666310,,,6.377273548487083,-135.81473024632098,-3.4096738765928865,-15.020840997003384,26.802536373965136,-19.9400822420932,3.43,1.66,79.0,94.4,2.0,93.7,2095.0,6.3,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.2,0.437,0.42,0.0,1.0,0.0,0.0,4.0,23,5,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,219.0,0.006,-0.148
FF,2023-07-05,97.3,1.45,5.58,"Olson, Matt",621566,682120,walk,ball,,,,,11,Matt Olson walks.,R,L,L,CLE,ATL,B,,,3,0,2023,0.37,1.07,-0.83,3.61,,,,0,7,Top,,,,,666310,,,-7.044200246601324,-141.62110458566283,-2.2638960831224546,6.59757095245705,30.85862219989541,-17.403106930538602,3.46,1.69,,,,98.3,2452.0,6.8,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.75,,,0.7,1.0,0.0,0.0,,60,4,4-Seam Fastball,0,6,6,0,6,0,6,0,Infield shade,Standard,135.0,-0.002,0.155
FC,2023-07-05,90.3,-1.31,6.32,"Olson, Matt",621566,615698,single,hit_into_play,,,,,12,Matt Olson singles on a ground ball to right fielder Will Brennan.   Ozzie Albies scores.    Austin Riley to 2nd.,R,L,R,CLE,ATL,X,9.0,ground_ball,2,0,2023,0.11,0.74,1.21,2.89,645277.0,,663586.0,1,1,Top,170.93,131.77,,,666310,,,6.083841572787287,-131.46818474299425,-4.275570147255994,0.1500622185880096,23.61250570263494,-22.84465435663032,3.43,1.66,116.0,66.1,13.0,91.1,2201.0,6.4,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.09,0.286,0.257,0.9,1.0,1.0,0.0,2.0,4,3,Cutter,0,0,0,0,1,0,1,0,Standard,Standard,204.0,-0.07,0.67
SI,2023-07-05,95.8,1.86,6.3,"Olson, Matt",621566,656529,home_run,hit_into_play,,,,,6,Matt Olson homers (29) on a fly ball to right field.,R,L,L,CLE,ATL,X,,fly_ball,2,1,2023,1.21,0.98,0.6,2.25,,,,0,9,Top,221.1,53.27,,,666310,,,-6.1403117510872605,-139.38586941871827,-7.435317257106936,17.17888929877497,28.57641688306144,-17.98317616440134,3.43,1.66,428.0,107.5,28.0,97.2,2053.0,6.9,717486,656529,666310,681807,665926,608070,642708,680757,664702,686823,53.59,0.949,1.888,2.0,1.0,0.0,3.0,6.0,75,4,Sinker,0,6,6,0,7,0,7,0,Infield shade,Standard,150.0,-0.001,0.958
SI,2023-07-05,92.7,-1.16,6.32,"Riley, Austin",663586,615698,field_out,hit_into_play,,,,,13,Austin Riley lines out to shortstop Amed Rosario.,R,R,R,CLE,ATL,X,6.0,line_drive,0,2,2023,-0.91,1.21,-1.35,2.17,,,,0,5,Top,121.74,135.3,,,666310,,,1.542251018277243,-134.9154707952113,-7.502912215590524,-11.51739600324156,28.68134986388767,-15.956866088856833,3.43,1.63,165.0,61.3,22.0,93.1,2054.0,6.5,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.05,0.454,0.409,0.0,1.0,0.0,0.0,4.0,41,3,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,220.0,0.004,-0.152
SI,2023-07-05,92.9,-1.22,6.36,"Riley, Austin",663586,615698,field_out,hit_into_play,,,,,13,"Austin Riley grounds out, shortstop Amed Rosario to first baseman David Fry.",R,R,R,CLE,ATL,X,6.0,ground_ball,0,2,2023,-0.96,1.39,-0.41,1.5,,,,0,3,Top,111.45,154.5,,,666310,,,4.172561901075659,-134.9519161847107,-9.724486841948586,-12.593267907781156,28.01826026680573,-13.273767394840332,3.43,1.63,5.0,95.1,-15.0,93.1,2177.0,6.4,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.07,0.129,0.116,0.0,1.0,0.0,0.0,2.0,22,3,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,216.0,0.009,-0.152
